settlement_reference,transaction_id,settlement_group_id,settlement_date,amount,settlement_type,settlement_category,funding_status
S001,T001,,2026-08-02,1000.0,DIRECT,DISBURSEMENT,SETTLED
S002,T002,,2026-08-02,2000.0,DIRECT,DISBURSEMENT,SETTLED
S003,T003,,2026-08-04,1500.0,DIRECT,DISBURSEMENT,SETTLED
S004,T004,,2026-08-04,700.0,DIRECT,DISBURSEMENT,SETTLED
S005,,G001,2026-08-06,1200.0,GROUPED,DISBURSEMENT,SETTLED
S006,,G001,2026-08-06,800.0,GROUPED,DISBURSEMENT,SETTLED
S007,R001,,2026-08-11,400.0,DIRECT,REPAYMENT,SETTLED
S008,R002,,2026-08-12,500.0,DIRECT,REPAYMENT,SETTLED
S009,R003,,2026-08-13,300.0,DIRECT,REPAYMENT,PENDING
S010,,G002,2026-08-16,600.0,GROUPED,REPAYMENT,SETTLED
S011,,G002,2026-08-16,400.0,GROUPED,REPAYMENT,SETTLED
