transaction_id,event_date,amount,event_type,payment_id,settlement_group_id
T001,2026-08-01,1000.0,STATE_A,,
T002,2026-08-01,2000.0,STATE_A,,
T003,2026-08-03,1500.0,STATE_A,,
T004,2026-08-03,750.0,STATE_A,,
T006,2026-08-06,700.0,STATE_A,,
T007,2026-08-05,600.0,STATE_A,,
T001,2026-08-02,1000.0,STATE_B,,
T002,2026-08-02,2000.0,STATE_B,,
T003,2026-08-03,1500.0,STATE_B,,
T004,2026-08-04,750.0,STATE_B,,
T006,2026-08-06,700.0,STATE_B,,
T008,2026-08-06,900.0,STATE_B,,
R001,2026-08-10,400.0,REPAYMENT,P001,
R002,2026-08-11,500.0,REPAYMENT,P002,
R003,2026-08-12,300.0,REPAYMENT,P003,
G-T001,2026-08-05,700.0,STATE_B,,G001
G-T002,2026-08-05,500.0,STATE_B,,G001
G-R001,2026-08-15,350.0,REPAYMENT,P006,G002
G-R002,2026-08-15,250.0,REPAYMENT,P007,G002
